class	group	term	genes	all	padj
DOWN	AD1_control	nucleoside phosphate biosynthetic process	22	225	2.5449126067136966e-4
DOWN	AD1_control	nucleoside phosphate metabolic process	26	342	0.002339295708269851
DOWN	AD1_control	nucleoside triphosphate biosynthetic process	19	102	1.4184042175566363e-7
DOWN	AD1_control	nucleoside triphosphate metabolic process	19	108	3.297924506904628e-7
DOWN	AD1_control	nucleotide biosynthetic process	22	223	2.2246210229728882e-4
DOWN	AD1_control	nucleotide metabolic process	26	334	0.0016223878525672428
DOWN	AD1_control	organellar large ribosomal subunit	8	35	0.0013764394962373328
DOWN	AD1_control	organellar ribosome	16	62	3.559329180667266e-8
DOWN	AD1_control	organellar small ribosomal subunit	13	35	2.1021933808097476e-8
DOWN	AD1_control	organophosphate biosynthetic process	29	420	0.0041976539604538085
DOWN	AD1_control	oxidative phosphorylation	9	51	0.003086467132212156
DOWN	AD1_control	oxidoreductase activity, acting on NAD(P)H	14	119	0.002285931884580087
DOWN	AD1_control	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	11	53	1.0220638971157634e-4
DOWN	AD1_control	oxidoreduction-driven active transmembrane transporter activity	13	47	5.0598175866606e-7
DOWN	AD1_control	photosynthesis	41	365	2.0586975273424667e-9
DOWN	AD1_control	photosynthesis, light reaction	28	227	1.804226571204881e-7
DOWN	AD1_control	Photosynthesis.photophosphorylation.ATP synthase complex.membrane CF0 subcomplex.subunit b	4	6	0.0022418962524248924
DOWN	AD1_control	photosynthetic electron transport chain	19	124	2.4538968316636554e-6
DOWN	AD1_control	photosynthetic electron transport in photosystem II	6	24	0.009079246517979873
DOWN	AD1_control	photosynthetic membrane	38	500	4.2937155111885195e-5
DOWN	AD1_control	Photosynthetic reaction centre, L/M	5	14	0.006086735463949876
DOWN	AD1_control	photosystem	18	115	3.8581212614060425e-6
DOWN	AD1_control	Photosystem antenna protein-like	6	15	6.03930557594982e-4
DOWN	AD1_control	Photosystem antenna protein-like superfamily	6	15	6.03930557594982e-4
DOWN	AD1_control	Photosystem I PsaA	4	8	0.008004573071169049
DOWN	AD1_control	Photosystem II protein D1/D2 superfamily	5	14	0.006086735463949876
DOWN	AD1_control	plastid ribosome	12	54	1.9403374852248746e-5
DOWN	AD1_control	plastid small ribosomal subunit	9	30	4.453802283395338e-5
DOWN	AD1_control	plastid thylakoid	34	536	0.004886079675000191
DOWN	AD1_control	plastid thylakoid membrane	28	429	0.013513846300168277
DOWN	AD1_control	primary active transmembrane transporter activity	23	293	0.004133397323818855
DOWN	AD1_control	proton channel activity	13	40	8.053395895454621e-8
DOWN	AD1_control	proton transmembrane transport	22	170	3.590885062353824e-6
DOWN	AD1_control	proton transmembrane transporter activity	27	229	7.29964536266837e-7
DOWN	AD1_control	proton-transporting ATP synthase activity, rotational mechanism	12	38	4.4093776203773554e-7
DOWN	AD1_control	proton-transporting ATP synthase complex	18	80	2.933435308580824e-8
DOWN	AD1_control	proton-transporting ATP synthase complex, catalytic core F(1)	8	30	4.43826732344239e-4
DOWN	AD1_control	proton-transporting ATP synthase complex, coupling factor F(o)	10	44	1.351056895989442e-4
DOWN	AD1_control	proton-transporting two-sector ATPase complex	18	121	8.259205222618008e-6
DOWN	AD1_control	proton-transporting two-sector ATPase complex, catalytic domain	8	44	0.006460081322282108
DOWN	AD1_control	proton-transporting two-sector ATPase complex, proton-transporting domain	10	69	0.005769776065601155
DOWN	AD1_control	purine nucleoside triphosphate biosynthetic process	19	93	3.559329180667266e-8
DOWN	AD1_control	purine nucleotide biosynthetic process	22	162	1.6904930961691255e-6
DOWN	AD1_control	purine nucleotide metabolic process	26	265	3.572757531254842e-5
DOWN	AD1_control	purine ribonucleoside triphosphate biosynthetic process	19	93	3.559329180667266e-8
DOWN	AD1_control	purine ribonucleotide biosynthetic process	22	153	6.625717491817786e-7
DOWN	AD1_control	purine ribonucleotide metabolic process	26	249	1.2827817670949322e-5
DOWN	AD1_control	purine-containing compound biosynthetic process	22	171	3.8581212614060425e-6
DOWN	AD1_control	purine-containing compound metabolic process	26	291	1.648709950023603e-4
DOWN	AD1_control	ribonucleoprotein complex	40	544	4.5250562750577165e-5
DOWN	AD1_control	ribonucleoside triphosphate biosynthetic process	19	100	1.0610284120220143e-7
DOWN	AD1_control	ribonucleotide biosynthetic process	22	168	2.9767635434338435e-6
DOWN	AD1_control	ribonucleotide metabolic process	26	265	3.572757531254842e-5
DOWN	AD1_control	Ribosomal protein S5/S7	7	14	2.207602595901547e-5
DOWN	AD1_control	Ribosomal protein S7 domain	7	14	2.207602595901547e-5
DOWN	AD1_control	Ribosomal protein S7 domain superfamily	7	14	2.207602595901547e-5
DOWN	AD1_control	ribosomal subunit	37	399	6.895198229637734e-7
DOWN	AD1_control	small ribosomal subunit	22	165	2.28019525808983e-6
DOWN	AD1_control	structural constituent of ribosome	50	673	1.6904930961691255e-6
DOWN	AD1_control	structural molecule activity	51	780	4.147820566954036e-5
DOWN	AD1_control	tetrapyrrole binding	30	510	0.044153606337270175
DOWN	AD1_control	thylakoid membrane	29	465	0.021510301684212873
ADD	AD1_control	ADP binding	35	359	0.01965365706795158
ADD	AD1_control	Cytochrome P450 superfamily	38	329	4.5046290603415796e-4
ADD	AD1_control	heme binding	45	477	0.00623349579398363
ADD	AD1_control	hydrolase activity, hydrolyzing N-glycosyl compounds	14	74	0.008908064222024397
ADD	AD1_control	iron ion binding	41	433	0.008908064222024397
ADD	AD1_control	monooxygenase activity	40	400	0.00623349579398363
ADD	AD1_control	NAD+ nucleosidase activity	13	44	2.8608608331556437e-4
ADD	AD1_control	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	44	470	0.008220033961175913
ADD	AD1_control	secondary metabolite biosynthetic process	22	177	0.01965365706795158
ADD	AD1_control	tetrapyrrole binding	46	510	0.008908064222024397
ADD	AD1_control	UDP-glucuronosyl/UDP-glucosyltransferase	24	144	2.8608608331556437e-4
ADD	AD1_control	UDP-glycosyltransferase activity	35	371	0.03456229953322207
ELD_P1	AD1_control	apoplast	110	369	5.101630028098298e-5
ELD_P1	AD1_control	carboxylic acid biosynthetic process	140	522	6.656189649267137e-4
ELD_P1	AD1_control	cellular amino acid catabolic process	27	72	0.03548536443069714
ELD_P1	AD1_control	chlorophyll metabolic process	35	94	0.006189418755536105
ELD_P1	AD1_control	chloroplast envelope	259	760	1.7840074401005907e-22
ELD_P1	AD1_control	chloroplast organization	74	227	1.5105636549939976e-4
ELD_P1	AD1_control	chloroplast stroma	307	864	7.211989493275807e-30
ELD_P1	AD1_control	chloroplast thylakoid	210	531	5.081771076776891e-27
ELD_P1	AD1_control	chloroplast thylakoid membrane	171	421	1.8950336489820055e-23
ELD_P1	AD1_control	chloroplast thylakoid membrane protein complex	19	30	6.330140187745853e-5
ELD_P1	AD1_control	circadian rhythm	72	208	1.725136097909457e-5
ELD_P1	AD1_control	DNA-directed RNA polymerase, insert domain superfamily	11	17	0.013483028606824037
ELD_P1	AD1_control	extracellular region	131	487	0.0011834802166158368
ELD_P1	AD1_control	generation of precursor metabolites and energy	135	523	0.006189418755536105
ELD_P1	AD1_control	glycine catabolic process	8	9	0.005392769239603056
ELD_P1	AD1_control	glycine metabolic process	16	24	2.239103595067741e-4
ELD_P1	AD1_control	Haloacid dehalogenase-like hydrolase	11	16	0.00665434522578446
ELD_P1	AD1_control	monocarboxylic acid metabolic process	133	541	0.04951826870397175
ELD_P1	AD1_control	NAD(P)-binding domain superfamily	121	464	0.009212911204867995
ELD_P1	AD1_control	organic acid biosynthetic process	146	575	0.00665434522578446
ELD_P1	AD1_control	Phosphoglycolate phosphatase-like, domain 2	9	12	0.012833807973968546
ELD_P1	AD1_control	Phosphotransferase KptA/Tpt1	8	11	0.041075811301492
ELD_P1	AD1_control	photosynthesis	112	365	7.763855099877714e-6
ELD_P1	AD1_control	photosynthesis, light reaction	72	227	5.811906631149402e-4
ELD_P1	AD1_control	photosynthetic membrane	193	500	1.8950336489820055e-23
ELD_P1	AD1_control	photosystem II	26	68	0.034820651807692206
ELD_P1	AD1_control	photosystem II oxygen evolving complex	14	28	0.04636036689403291
ELD_P1	AD1_control	pigment biosynthetic process	51	163	0.018065546569763287
ELD_P1	AD1_control	pigment metabolic process	66	202	5.330473044254438e-4
ELD_P1	AD1_control	plastid membrane	210	583	2.966212070835687e-21
ELD_P1	AD1_control	plastid membrane organization	23	57	0.03401195349108545
ELD_P1	AD1_control	plastid organization	107	316	4.479152149297753e-8
ELD_P1	AD1_control	plastid thylakoid	213	536	1.3014098611358064e-27
ELD_P1	AD1_control	plastid thylakoid membrane	175	429	3.508670018790092e-24
ELD_P1	AD1_control	plastoglobule	36	96	0.004420082480867694
ELD_P1	AD1_control	porphyrin-containing compound biosynthetic process	31	87	0.03548536443069714
ELD_P1	AD1_control	porphyrin-containing compound metabolic process	43	124	0.005878058212966529
ELD_P1	AD1_control	protein domain specific binding	39	97	3.3483968439627405e-4
ELD_P1	AD1_control	response to bacterium	156	646	0.039466477876814496
ELD_P1	AD1_control	response to cold	178	615	9.463527995921188e-8
ELD_P1	AD1_control	response to wounding	86	298	0.003424830883576461
ELD_P1	AD1_control	RNA 2'-phosphotransferase, C-terminal domain	8	11	0.041075811301492
ELD_P1	AD1_control	RNA modification	59	192	0.009463522744419877
ELD_P1	AD1_control	serine family amino acid metabolic process	26	63	0.009044345283472244
ELD_P1	AD1_control	small molecule biosynthetic process	180	711	0.0011834802166158368
ELD_P1	AD1_control	small molecule catabolic process	61	210	0.03548536443069714
ELD_P1	AD1_control	stromule	31	56	7.39334195609564e-7
ELD_P1	AD1_control	tetrapyrrole biosynthetic process	33	93	0.025902257334241084
ELD_P1	AD1_control	tetrapyrrole metabolic process	45	127	0.00223315805089977
ELD_P1	AD1_control	thylakoid lumen	34	64	5.282012950202312e-7
ELD_P1	AD1_control	thylakoid membrane	190	465	1.8634867794883242e-26
UP	AD1_stress	ABC transporter-like, ATP-binding domain	24	157	0.018331158623888465
UP	AD1_stress	ABC-transporter, N-terminal domain	8	25	0.027323721224542664
UP	AD1_stress	ABC-type transporter activity	21	139	0.04893621056244043
UP	AD1_stress	abscisic acid binding	12	32	2.3998068065650093e-4
UP	AD1_stress	alcohol binding	12	34	4.2411304118515115e-4
UP	AD1_stress	amino sugar catabolic process	7	19	0.0271718246988754
UP	AD1_stress	ATP-binding cassette transporter, PDR-like subfamily G, domain 1	7	21	0.04893621056244043
UP	AD1_stress	ATP-binding cassette transporter, PDR-like subfamily G, domain 2	9	28	0.012697861621937208
UP	AD1_stress	Berberine/berberine-like	13	29	8.992329123647486e-6
UP	AD1_stress	Bet v I type allergen	12	24	7.673569165358804e-6
UP	AD1_stress	Bet v I/Major latex protein	18	44	1.661868614572764e-7
UP	AD1_stress	Bulb-type lectin domain	28	94	4.205874838544619e-8
UP	AD1_stress	Bulb-type lectin domain superfamily	28	98	4.205874838544619e-8
UP	AD1_stress	carbohydrate binding	39	319	0.02400759796366227
UP	AD1_stress	cell recognition	29	107	5.990033076716112e-8
UP	AD1_stress	chitin binding	11	38	0.006236049173237297
UP	AD1_stress	Cytochrome P450 superfamily	44	329	0.0018315806309965718
UP	AD1_stress	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	19	112	0.02394992890208107
UP	AD1_stress	endoribonuclease activity	22	136	0.01625466780148149
UP	AD1_stress	endoribonuclease activity, producing 5'-phosphomonoesters	19	109	0.017293251336476946
UP	AD1_stress	Enzyme classification.EC_1 oxidoreductases.EC_1.1 oxidoreductase acting on CH-OH group of donor	27	112	3.357171044197281e-6
UP	AD1_stress	Enzyme classification.EC_1 oxidoreductases.EC_1.14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen	52	354	2.596704798406426e-5
UP	AD1_stress	Enzyme classification.EC_2 transferases.EC_2.7 transferase transferring phosphorus-containing group	35	269	0.016894436799991884
UP	AD1_stress	FAD linked oxidase, N-terminal	16	52	8.642105232742307e-5
UP	AD1_stress	FAD-binding, type PCMH-like superfamily	17	59	8.695061430663162e-5
UP	AD1_stress	FAD-binding, type PCMH, subdomain 1	16	52	8.642105232742307e-5
UP	AD1_stress	FAD-binding, type PCMH, subdomain 2	17	59	8.695061430663162e-5
UP	AD1_stress	flavin adenine dinucleotide binding	32	189	3.1998415891338076e-4
UP	AD1_stress	glucosamine-containing compound metabolic process	7	21	0.04893621056244043
UP	AD1_stress	glutathione metabolic process	16	89	0.03785558081024621
UP	AD1_stress	Glutathione S-transferase Omega/Tau-like	11	33	0.0018315806309965718
UP	AD1_stress	Glutathione S-transferase, C-terminal	10	41	0.0470680277421753
UP	AD1_stress	Glutathione S-transferase, C-terminal domain superfamily	15	81	0.04163056106977572
UP	AD1_stress	Glutathione S-transferase, N-terminal	13	61	0.027090793264607938
UP	AD1_stress	Glutathione S-transferases Tau, C-terminal alpha helical domain, plant	13	39	3.2491114508975016e-4
UP	AD1_stress	glutathione transferase activity	13	51	0.005280340018760695
UP	AD1_stress	Glycoside hydrolase family 18, catalytic domain	7	21	0.04893621056244043
UP	AD1_stress	Glycoside hydrolase, family 19	7	17	0.01395384771684797
UP	AD1_stress	Glycoside hydrolase, family 19, catalytic	7	17	0.01395384771684797
UP	AD1_stress	Gnk2-homologous domain	18	71	2.625346755347073e-4
UP	AD1_stress	Gnk2-homologous domain superfamily	18	71	2.625346755347073e-4
UP	AD1_stress	heme binding	56	477	0.004200482886587005
UP	AD1_stress	hormone binding	12	49	0.01395384771684797
UP	AD1_stress	iron ion binding	53	433	0.002397058505578277
UP	AD1_stress	Isopenicillin N synthase-like superfamily	28	178	0.004142455334034588
UP	AD1_stress	Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain	27	163	0.002391769689913708
UP	AD1_stress	isoprenoid binding	12	39	0.0018315806309965718
UP	AD1_stress	L10-interacting MYB domain-containing protein	19	60	4.813730541368025e-6
UP	AD1_stress	Lysozyme-like domain superfamily	7	20	0.03785558081024621
UP	AD1_stress	molecular transducer activity	24	133	0.0018484661118463776
UP	AD1_stress	monocarboxylic acid binding	14	64	0.013578970933839918
UP	AD1_stress	monooxygenase activity	51	400	0.0014725980418136804
UP	AD1_stress	Myb/SANT-like domain	21	72	4.718892652815902e-6
UP	AD1_stress	Non-haem dioxygenase N-terminal domain	24	161	0.02583220553353222
UP	AD1_stress	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	54	470	0.009406674588019349
UP	AD1_stress	PAN/Apple domain	17	59	8.695061430663162e-5
UP	AD1_stress	phosphatase inhibitor activity	12	39	0.0018315806309965718
UP	AD1_stress	Plant PDR ABC transporter associated	9	28	0.012697861621937208
UP	AD1_stress	pollen-pistil interaction	29	126	3.0778374507849057e-6
UP	AD1_stress	polysaccharide binding	23	129	0.0031505799070616195
UP	AD1_stress	positive regulation of DNA-binding transcription factor activity	4	5	0.02061463594711068
UP	AD1_stress	Protein modification.phosphorylation.TKL protein kinase superfamily.G-Lectin protein kinase families.protein kinase (SD-1)	14	33	6.645196796681786e-6
UP	AD1_stress	Protein modification.phosphorylation.TKL protein kinase superfamily.protein kinase (DUF26)	15	37	4.761064109038737e-6
UP	AD1_stress	Protein modification.phosphorylation.TKL protein kinase superfamily.protein kinase (LRR-XII)	14	66	0.017293251336476946
UP	AD1_stress	protein serine/threonine kinase activity	46	367	0.004649963212272764
UP	AD1_stress	recognition of pollen	29	104	4.205874838544619e-8
UP	AD1_stress	Redox homeostasis.glutathione-based redox regulation.glutathione S-transferase activities.class tau glutathione S-transferase	11	33	0.0018315806309965718
UP	AD1_stress	response to salicylic acid	33	220	0.002251064119556664
UP	AD1_stress	ribonuclease activity	26	190	0.04893621056244043
UP	AD1_stress	Ribonuclease H domain	16	75	0.0062411263867205935
UP	AD1_stress	RNA-DNA hybrid ribonuclease activity	17	80	0.004155353926029397
UP	AD1_stress	S-locus glycoprotein domain	24	73	4.205874838544619e-8
UP	AD1_stress	S-receptor-like serine/threonine-protein kinase	25	77	4.205874838544619e-8
UP	AD1_stress	Serine-threonine/tyrosine-protein kinase, catalytic domain	62	518	0.0011722509091526031
UP	AD1_stress	signaling receptor activity	22	117	0.0022326561859730624
UP	AD1_stress	START-like domain superfamily	22	128	0.007347603454754152
UP	AD1_stress	tetrapyrrole binding	57	510	0.012362073233898565
UP	AD1_stress	VQ	14	43	2.0364753227622106e-4
UP	AD1_stress	Wall-associated receptor kinase, galacturonan-binding domain	22	106	5.22535337227249e-4
UP	AD1_stress	Zinc knuckle CX2CX4HX4C	7	15	0.006236049173237297
DOWN	AD1_stress	5'-3' RNA polymerase activity	23	121	5.7616413795205246e-5
DOWN	AD1_stress	aerobic respiration	16	110	0.044376445302495876
DOWN	AD1_stress	anchored component of membrane	28	192	7.028155311284902e-4
DOWN	AD1_stress	apoplast	39	369	0.014771246727087082
DOWN	AD1_stress	ATP biosynthetic process	25	85	2.4760357866869325e-9
DOWN	AD1_stress	ATP metabolic process	37	203	9.003185771236484e-8
DOWN	AD1_stress	ATP synthase, F0 complex, subunit b/b', bacterial/chloroplast	4	6	0.018374443217956754
DOWN	AD1_stress	ATP synthesis coupled proton transport	25	85	2.4760357866869325e-9
DOWN	AD1_stress	carbohydrate derivative biosynthetic process	47	496	0.03439392077049369
DOWN	AD1_stress	cation channel activity	18	119	0.015216508679092893
DOWN	AD1_stress	cation transmembrane transport	37	324	0.0049279967594269575
DOWN	AD1_stress	cation transmembrane transporter activity	51	531	0.016586249316582164
DOWN	AD1_stress	cation transport	50	527	0.022767067491173177
DOWN	AD1_stress	Cell wall organisation.cell wall proteins.hydroxyproline-rich glycoprotein activities.arabinogalactan-protein activities.Fasciclin-type arabinogalactan protein (FLA)	9	22	3.246781991889246e-4
DOWN	AD1_stress	cellular component assembly	67	788	0.044922702275523765
DOWN	AD1_stress	cellular protein-containing complex assembly	39	375	0.018992644644272257
DOWN	AD1_stress	cellular respiration	23	155	0.0030965595202156184
DOWN	AD1_stress	Chlorophyll A-B binding protein	9	33	0.009148673128544216
DOWN	AD1_stress	Chlorophyll A-B binding protein, plant and chromista	8	27	0.011711845490111986
DOWN	AD1_stress	Chlorophyll a/b binding domain superfamily	9	32	0.007138788937452887
DOWN	AD1_stress	chlorophyll binding	9	30	0.004242067771365753
DOWN	AD1_stress	chloroplast envelope	105	760	8.727724538304677e-15
DOWN	AD1_stress	chloroplast nucleoid	13	51	7.041045332576003e-4
DOWN	AD1_stress	chloroplast organization	32	227	3.246781991889246e-4
DOWN	AD1_stress	chloroplast stroma	137	864	9.713996420182111e-25
DOWN	AD1_stress	chloroplast thylakoid	97	531	1.1081624558245718e-21
DOWN	AD1_stress	chloroplast thylakoid membrane	80	421	5.564008411923904e-19
DOWN	AD1_stress	cytochrome complex assembly	10	34	0.0020905508628201635
DOWN	AD1_stress	cytoplasmic chromosome	6	19	0.048311305147349874
DOWN	AD1_stress	Di-haem cytochrome, transmembrane	4	7	0.035158495988017686
DOWN	AD1_stress	DNA-directed 5'-3' RNA polymerase activity	23	114	1.9754844904950505e-5
DOWN	AD1_stress	DNA-directed RNA polymerase, alpha subunit	4	6	0.018374443217956754
DOWN	AD1_stress	DNA-directed RNA polymerase, subunit 2	7	22	0.018374443217956754
DOWN	AD1_stress	electron transfer activity	39	172	3.865552279592186e-11
DOWN	AD1_stress	electron transport chain	41	199	2.488158954769497e-10
DOWN	AD1_stress	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	10	24	7.370317210286623e-5
DOWN	AD1_stress	energy derivation by oxidation of organic compounds	25	186	0.006649809901832372
DOWN	AD1_stress	FAS1 domain	9	25	9.774737495787194e-4
DOWN	AD1_stress	FAS1 domain superfamily	9	26	0.0013665317079730177
DOWN	AD1_stress	Fasciclin-like arabinogalactan protein 15/16/17/18	3	3	0.022767067491173177
DOWN	AD1_stress	galacturonan metabolic process	12	67	0.035158495988017686
DOWN	AD1_stress	generation of precursor metabolites and energy	80	523	2.390495609864534e-13
DOWN	AD1_stress	inorganic cation transmembrane transport	37	320	0.0038787223186963473
DOWN	AD1_stress	inorganic cation transmembrane transporter activity	48	497	0.020902235226651654
DOWN	AD1_stress	inorganic ion transmembrane transport	40	345	0.0019588414226377623
DOWN	AD1_stress	ion transmembrane transport	48	451	0.0026648820381636835
DOWN	AD1_stress	large ribosomal subunit	33	244	5.405823054683265e-4
DOWN	AD1_stress	membrane protein complex	77	657	2.8593233889923445e-7
DOWN	AD1_stress	microtubule cytoskeleton	29	266	0.04891635953165714
DOWN	AD1_stress	mitochondrial ATP synthesis coupled proton transport	4	4	0.0019417671483628822
DOWN	AD1_stress	mitochondrial large ribosomal subunit	6	12	0.003622038312929302
DOWN	AD1_stress	mitochondrial matrix	10	51	0.04891635953165714
DOWN	AD1_stress	mitochondrial protein-containing complex	26	210	0.01678792498731076
DOWN	AD1_stress	mitochondrial ribosome	9	17	2.424168054170811e-5
DOWN	AD1_stress	mitochondrial small ribosomal subunit	4	5	0.007422578966555349
DOWN	AD1_stress	NAD(P)H dehydrogenase (quinone) activity	13	45	1.7180014617186422e-4
DOWN	AD1_stress	NAD(P)H dehydrogenase complex (plastoquinone)	7	13	5.104716868257995e-4
DOWN	AD1_stress	NAD(P)H dehydrogenase complex assembly	5	12	0.03581001753650716
DOWN	AD1_stress	NADH dehydrogenase (quinone) activity	13	35	7.320073352709469e-6
DOWN	AD1_stress	NADH dehydrogenase activity	16	50	2.563220017236247e-6
DOWN	AD1_stress	NB-ARC	31	286	0.036579912198462516
DOWN	AD1_stress	nucleoid	13	59	0.0031713777813640476
DOWN	AD1_stress	nucleoside binding	7	22	0.018374443217956754
DOWN	AD1_stress	nucleoside phosphate biosynthetic process	29	225	0.003946182949251753
DOWN	AD1_stress	nucleoside phosphate metabolic process	35	342	0.04563650728789423
DOWN	AD1_stress	nucleoside triphosphate biosynthetic process	26	102	2.540220284727801e-8
DOWN	AD1_stress	nucleoside triphosphate metabolic process	26	108	9.003185771236484e-8
DOWN	AD1_stress	nucleotide biosynthetic process	29	223	0.0034813620794183534
DOWN	AD1_stress	nucleotide metabolic process	35	334	0.03199346017051072
DOWN	AD1_stress	nucleotidyltransferase activity	28	228	0.011309956715361452
DOWN	AD1_stress	organellar large ribosomal subunit	13	35	7.320073352709469e-6
DOWN	AD1_stress	organellar ribosome	24	62	8.793602772388997e-12
DOWN	AD1_stress	organellar small ribosomal subunit	17	35	6.73383940981278e-10
DOWN	AD1_stress	organophosphate biosynthetic process	42	420	0.023465071181830804
DOWN	AD1_stress	oxidative phosphorylation	12	51	0.0032467675414849678
DOWN	AD1_stress	oxidoreductase activity, acting on NAD(P)H	26	119	7.128333495746687e-7
DOWN	AD1_stress	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	16	53	6.133717063931559e-6
